region,weather_year,annual_demand_mwh
p49,2008,1087817.0
p49,2009,1087961.0
p49,2010,1088640.0
p49,2011,1088593.0
p49,2012,1084089.0
p49,2013,1089204.0
p5,2007,94695593.0
p5,2008,94825846.0
p5,2009,94811123.0
p5,2010,94504895.0
p5,2011,94761139.0
p5,2012,94640165.0
p5,2013,94752871.0
p50,2007,63941276.0
p50,2008,64000582.0
p50,2009,63957340.0
p50,2010,64069779.0
p50,2011,64098649.0
p50,2012,63619859.0
p50,2013,64152924.0
p51,2007,35483661.0
p51,2008,35516124.0
p51,2009,35492401.0
p51,2010,35553679.0
p51,2011,35569402.0
p51,2012,35308244.0
p51,2013,35599043.0
p52,2007,2758400.0
p52,2008,2776115.0
p52,2009,2761740.0
p52,2010,2767663.0
p52,2011,2768971.0
p52,2012,2712811.0
p52,2013,2778254.0
p53,2007,56261474.0
p53,2008,56527547.0
p53,2009,56311584.0
p53,2010,56400444.0
p53,2011,56419668.0
p53,2012,55581523.0
p53,2013,56558661.0
p54,2007,36609295.0
p54,2008,36802645.0
p54,2009,36619874.0
p54,2010,36783037.0
p54,2011,36638260.0
p54,2012,36196807.0
p54,2013,36789453.0
p55,2007,19166265.0
p55,2008,19281446.0
p55,2009,19172498.0
p55,2010,19269854.0
p55,2011,19183462.0
p55,2012,18920027.0
p55,2013,19273511.0
p56,2007,19424434.0
p56,2008,19453079.0
p56,2009,19437589.0
p56,2010,19472715.0
p56,2011,19436138.0
p56,2012,19369823.0
p56,2013,19461337.0
p57,2007,16627139.0
p57,2008,16627214.0
p57,2009,16635050.0
p57,2010,16670611.0
p57,2011,16699349.0
p57,2012,16604332.0
p57,2013,16653076.0
p58,2007,108643359.0
p58,2008,108648417.0
p58,2009,108629275.0
p58,2010,108796456.0
p58,2011,108691966.0
p58,2012,108538657.0
p58,2013,108685157.0
p59,2007,14853778.0
p59,2008,14853488.0
p59,2009,14861059.0
p59,2010,14895075.0
p59,2011,14922471.0
p59,2012,14831913.0
p59,2013,14878051.0
p6,2007,20253346.0
p6,2008,20271346.0
p6,2009,20269289.0
p6,2010,20226749.0
p6,2011,20262308.0
p6,2012,20245603.0
p6,2013,20261223.0
p60,2007,10462064.0
p60,2008,10462184.0
p60,2009,10468949.0
p60,2010,10499861.0
p60,2011,10524578.0
p60,2012,10442375.0
p60,2013,10484417.0
p61,2007,17883203.0
p61,2008,17883434.0
p61,2009,17891463.0
p61,2010,17928935.0
p61,2011,17959034.0
p61,2012,17859405.0
p61,2013,17910373.0
p62,2007,19218200.0
p62,2008,19218597.0
p62,2009,19230363.0
p62,2010,19284984.0
p62,2011,19328761.0
p62,2012,19183544.0
p62,2013,19257855.0
p63,2007,288457691.0
p63,2008,288460870.0
p63,2009,288601356.0
p63,2010,289245255.0
p63,2011,289763024.0
p63,2012,288047003.0
p63,2013,288926413.0
p64,2007,82902255.0
p64,2008,82903157.0
p64,2009,82940917.0
p64,2010,83114237.0
p64,2011,83253517.0
p64,2012,82791864.0
p64,2013,83028370.0
p65,2007,121954570.0
p65,2008,121955783.0
p65,2009,122008643.0
p65,2010,122250490.0
p65,2011,122444967.0
p65,2012,121800331.0
p65,2013,122130782.0
p66,2007,56380125.0
p66,2008,56380925.0
p66,2009,56411855.0
p66,2010,56553804.0
p66,2011,56668033.0
p66,2012,56289513.0
p66,2013,56483496.0
p67,2007,175772332.0
p67,2008,175774078.0
p67,2009,175848239.0
p67,2010,176188207.0
p67,2011,176461725.0
p67,2012,175555485.0
p67,2013,176019821.0
p68,2007,5796208.0
p68,2008,5865774.0
p68,2009,5825943.0
p68,2010,5772192.0
p68,2011,5793751.0
p68,2012,5694510.0
p68,2013,5880060.0
p69,2007,8814286.0
p69,2008,8855369.0
p69,2009,8816665.0
p69,2010,8820581.0
p69,2011,8807829.0
p69,2012,8751609.0
p69,2013,8846601.0
p7,2007,2915760.0
p7,2008,2918529.0
p7,2009,2918316.0
p7,2010,2911313.0
p7,2011,2917232.0
p7,2012,2914261.0
p7,2013,2917063.0
p70,2007,59254254.0
p70,2008,59564621.0
p70,2009,59272360.0
p70,2010,59301480.0
p70,2011,59205214.0
p70,2012,58780218.0
p70,2013,59498868.0
p71,2007,2519718.0
p71,2008,2528822.0
p71,2009,2520145.0
p71,2010,2527920.0
p71,2011,2521139.0
p71,2012,2500235.0
p71,2013,2528257.0
p72,2007,46058751.0
p72,2008,46145406.0
p72,2009,46063426.0
p72,2010,46136745.0
p72,2011,46071736.0
p72,2012,45873601.0
p72,2013,46139467.0
p73,2007,3921295.0
p73,2008,3938799.0
p73,2009,3922241.0
p73,2010,3937126.0
p73,2011,3923907.0
p73,2012,3883927.0
p73,2013,3937587.0
p74,2007,3421701.0
p74,2008,3442335.0
p74,2009,3429954.0
p74,2010,3387187.0
p74,2011,3414894.0
p74,2012,3336934.0
p74,2013,3439984.0
p75,2007,16206549.0
p75,2008,16391104.0
p75,2009,16295194.0
p75,2010,16119538.0
p75,2011,16227384.0
p75,2012,15989324.0
p75,2013,16413293.0
p76,2007,18550903.0
p76,2008,18782060.0
p76,2009,18661988.0
p76,2010,18441888.0
p76,2011,18577018.0
p76,2012,18278849.0
p76,2013,18809746.0
p77,2007,4903718.0
p77,2008,4967802.0
p77,2009,4934487.0
p77,2010,4873595.0
p77,2011,4910974.0
p77,2012,4828493.0
p77,2013,4975479.0
p78,2007,12008869.0
p78,2008,12155277.0
p78,2009,12078914.0
p78,2010,11939773.0
p78,2011,12025331.0
p78,2012,11836354.0
p78,2013,12172765.0
p79,2007,40706251.0
p79,2008,41101565.0
p79,2009,40896100.0
p79,2010,40519806.0
p79,2011,40750622.0
p79,2012,40240878.0
p79,2013,41148799.0
p8,2007,2289737.0
p8,2008,2290876.0
p8,2009,2289894.0
p8,2010,2288068.0
p8,2011,2293381.0
p8,2012,2287379.0
p8,2013,2289803.0
p80,2007,161931434.0
p80,2008,163513449.0
p80,2009,162328295.0
p80,2010,161767568.0
p80,2011,161310504.0
p80,2012,158768970.0
p80,2013,163085119.0
p81,2007,31608768.0
p81,2008,31790067.0
p81,2009,31654259.0
p81,2010,31590001.0
p81,2011,31537546.0
p81,2012,31246273.0
p81,2013,31741079.0
p82,2007,11214438.0
p82,2008,11275933.0
p82,2009,11229807.0
p82,2010,11208053.0
p82,2011,11190192.0
p82,2012,11091237.0
p82,2013,11259357.0
p83,2007,15774324.0
p83,2008,15815851.0
p83,2009,15784437.0
p83,2010,15770051.0
p83,2011,15758064.0
p83,2012,15691274.0
p83,2013,15804641.0
p84,2007,8283230.0
p84,2008,8336316.0
p84,2009,8286010.0
p84,2010,8331027.0
p84,2011,8291125.0
p84,2012,8169490.0
p84,2013,8332700.0
p85,2007,49100915.0
p85,2008,49180425.0
p85,2009,49137416.0
p85,2010,49235143.0
p85,2011,49133446.0
p85,2012,48949512.0
p85,2013,49203272.0
p86,2007,28428258.0
p86,2008,28428540.0
p86,2009,28427507.0
p86,2010,28436131.0
p86,2011,28430705.0
p86,2012,28422796.0
p86,2013,28430414.0
p87,2007,51962518.0
p87,2008,51982021.0
p87,2009,51981743.0
p87,2010,52053806.0
p87,2011,51979986.0
p87,2012,51913767.0
p87,2013,51996997.0
p88,2007,17259369.0
p88,2008,17266862.0
p88,2009,17266748.0
p88,2010,17294604.0
p88,2011,17265957.0
p88,2012,17240440.0
p88,2013,17272628.0
p89,2007,66717375.0
p89,2008,66724645.0
p89,2009,66722012.0
p89,2010,66846195.0
p89,2011,66724228.0
p89,2012,66631441.0
p89,2013,66715953.0
p9,2007,202206935.0
p9,2008,202339679.0
p9,2009,202225641.0
p9,2010,202053736.0
p9,2011,202586983.0
p9,2012,201991063.0
p9,2013,202233599.0
p90,2007,61674185.0
