substation_id,CBSAFP,POPESTIMATE2019,rb,region,IPM_Region
147275,17300,307820.0,p92,p92,p92
302197,34860,65204.0,p66,p66,p66
200350,13380,229247.0,p1,p1,p1
111105,27530,63521.0,p89,p89,p89
143944,35620_p126,6585382.235587343,p126,p126,p126
117435,44180,470300.0,p55,p55,p55
117258,22900,250368.0,p56,p56,p56
117785,38740,55766.0,p84,p84,p84
148132,32660,41277.0,p92,p92,p92
162670,32820,1346045.0,p92,p92,p92
117838,25300,38839.0,p71,p71,p71
206400,30860,142165.0,p25,p25,p25
109844,12220,164542.0,p90,p90,p90
153567,46220,252047.0,p89,p89,p89
115671,11940,53794.0,p92,p92,p92
112391,48900,297533.0,p98,p98,p98
120464,36100,365579.0,p101,p101,p101
148522,16860,565194.0,p92,p92,p92
117963,27620,151235.0,p72,p72,p72
112502,12940,854884.0,p58,p58,p58
156972,32940,99408.0,p87,p87,p87
203879,22660,356899.0,p33,p33,p33
146334,40060,1291900.0,p99,p99,p99
150862,36740,2608147.0,p101,p101,p101
121795,22780,52607.0,p73,p73,p73
115672,11940,53794.0,p92,p92,p92
153364,38700,35648.0,p80,p80,p80
117398,44180,470300.0,p55,p55,p55
143627,48140,163285.0,p75,p75,p75
153602,29020,82544.0,p105,p105,p105
118040,26740,61998.0,p53,p53,p53
112387,48900,297533.0,p98,p98,p98
132635,19780,699292.0,p70,p70,p70
150262,25620,168849.0,p87,p87,p87
125205,30260,44923.0,p122,p122,p122
135196,19860,32417.0,p36,p36,p36
200428,31020,110593.0,p2,p2,p2
131839,35820,36156.0,p40,p40,p40
149833,34020,49348.0,p58,p58,p58
161524,29380,71686.0,p101,p101,p101
308414,30980,286657.0,p57,p57,p57
150837,37260,74521.0,p101,p101,p101
123861,39740,421164.0,p122,p122,p122
145369,21300,83456.0,p127,p127,p127
132634,19780,699292.0,p70,p70,p70
153306,23140,32399.0,p105,p105,p105
121223,22500,204911.0,p96,p96,p96
117446,41140,125223.0,p54,p54,p54
205955,25720,76236.0,p26,p26,p26
146386,30380,46138.0,p122,p122,p122
130761,47940,168522.0,p69,p69,p69
125594,47780,33351.0,p107,p107,p107
155297,19460,152603.0,p89,p89,p89
201375,28900,68238.0,p6,p6,p6
124988,16540,155027.0,p120,p120,p120
307276,23820,48905.0,p12,p12,p12
308425,49820,14179.0,p65,p65,p65
123403,49620,449058.0,p122,p122,p122
201163,30300,62990.0,p14,p14,p14
113675,11780,97241.0,p111,p111,p111
148106,42940,98250.0,p92,p92,p92
150547,33100,6166488.0,p102,p102,p102
120466,36100,365579.0,p101,p101,p101
111535,12060,6020364.0,p94,p94,p94
202182,18780,13283.0,p33,p33,p33
148635,18100,33470.0,p40,p40,p40
128917,31220,29144.0,p103,p103,p103
125368,15380,1127983.0,p127,p127,p127
132136,19780,699292.0,p70,p70,p70
308861,29820,2266715.0,p13,p13,p13
109414,43700,64979.0,p93,p93,p93
144343,40340,221921.0,p43,p43,p43
113907,48940,41968.0,p113,p113,p113
147839,40060,1291900.0,p99,p99,p99
110742,35900,68412.0,p97,p97,p97
132742,31700,417025.0,p130,p130,p130
117397,44180,470300.0,p55,p55,p55
117964,28860,30003.0,p71,p71,p71
206447,10140,75061.0,p2,p2,p2
144636,13020,103126.0,p103,p103,p103
300188,37580,49859.0,p63,p63,p63
308502,29820,2266715.0,p13,p13,p13
117227,40780,85413.0,p85,p85,p85
132324,35620_p126,6585382.235587343,p126,p126,p126
152759,27740,203649.0,p92,p92,p92
117623,14700,55928.0,p55,p55,p55
206302,41100,177556.0,p25,p25,p25
124699,16980,9458539.0,p80,p80,p80
200766,42660,3979845.0,p1,p1,p1
110108,19140,144724.0,p94,p94,p94
148535,16860,565194.0,p92,p92,p92
121820,27900,179564.0,p55,p55,p55
149315,29940,122259.0,p53,p53,p53
200948,45520,26682.0,p5,p5,p5
150626,38940,489297.0,p102,p102,p102
307488,47300,466195.0,p10,p10,p10
146889,23860,62680.0,p96,p96,p96
123983,29020,82544.0,p105,p105,p105
125100,18020,83779.0,p107,p107,p107
201577,41620,1232696.0,p25,p25,p25
147038,47260,1768901.0,p99,p99,p99
121119,16700,802122.0,p96,p96,p96
151779,48540,138948.0,p112,p112,p112
149132,27180,178644.0,p92,p92,p92
123405,25420,577941.0,p122,p122,p122
117580,44180,470300.0,p55,p55,p55
114004,31300,130625.0,p98,p98,p98
117512,27900,179564.0,p55,p55,p55
150864,37260,74521.0,p101,p101,p101
147828,40060,1291900.0,p99,p99,p99
144340,40340,221921.0,p43,p43,p43
148396,48900,297533.0,p98,p98,p98
150019,40820,46742.0,p86,p86,p86
114916,49180,676008.0,p97,p97,p97
154357,32820,1346045.0,p92,p92,p92
131662,36540,949442.0,p41,p41,p41
120928,13500,26118.0,p96,p96,p96
